year,comp_id,begin,end,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,D,balsheet_flag,balsheet_length,balsheet_notfullyear,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,labor_avg,status_alive,flag_asset_problem,total_assets,total_assets_next,asset_growth_rate,fast_growth,ln_sales,sales_mil,sales_mil_log,d1_sales_mil_log,age,new
2012,30191321088.0,2012-01-01,2012-12-31,1362.9630126953125,8303.7041015625,1503.7037353515625,0.0,0.0,0.0,2807.407470703125,-1751.851806640625,0.0,8025.92578125,22.22222137451172,5455.5556640625,1574.0740966796875,-1759.25927734375,6774.07421875,1244.4444580078125,185.1851806640625,2807.407470703125,,0.0,365.0,0.0,2000.0,,1.0,0.0,1.0,,6015.0,female,Domestic,5610.0,56.0,3.0,1.0,Central,2000-04-25,,0.1428571492433548,1,0,11111.111572265625,12288.888916015625,0.10599995653808775,0.0,8.820857989731927,0.00677407421875,-4.994652568232348,0.0,12.0,1.0
2012,30198059008.0,2012-01-01,2012-12-31,1051.851806640625,15248.1484375,37966.66796875,0.0,0.0,0.0,22633.333984375,10100.0,0.0,9396.2958984375,5851.85205078125,252696.296875,48588.890625,10100.0,315203.71875,-29714.814453125,74.0740737915039,22633.333984375,,0.0,365.0,0.0,2004.0,,2.0,0.0,0.0,1960.0,2702.5,male,Domestic,5630.0,56.0,3.0,2.0,West,2004-02-26,,0.6527777910232544,1,0,37881.482421875,30511.1123046875,-0.19456393060614266,0.0,12.660974434960986,0.31520371875,-1.154536123003289,0.0,8.0,1.0
2012,30201378816.0,2012-01-01,2012-12-31,1485.1851806640625,2940.74072265625,5444.4443359375,0.0,0.0,0.0,0.0,1359.25927734375,0.0,2151.851806640625,703.7036743164064,12025.92578125,662.9629516601562,1222.22216796875,15625.92578125,-2503.70361328125,1851.851806640625,0.0,,0.0,365.0,0.0,2010.0,,1.0,0.0,0.0,,880.0,male,Domestic,4721.0,47.0,,3.0,Central,2010-03-17,,0.0833333358168602,1,0,2940.74072265625,1351.851806640625,-0.5403022795496392,0.0,9.65668672284939,0.01562592578125,-4.158823835114884,0.0,2.0,1.0
2012,30216605696.0,2012-01-01,2012-12-31,40151.8515625,523003.71875,317814.8125,0.0,0.0,0.0,308325.9375,255118.515625,96.29629516601561,0.0,9937.037109375,614633.3125,841274.0625,192614.8125,1783629.625,443311.125,11111.111328125,308229.625,,0.0,365.0,0.0,1996.0,,2.0,0.0,0.5,1970.0,6950.0,mix,Domestic,2825.0,28.0,2.0,2.0,Central,1996-02-29,,3.784722089767456,1,0,831425.952545166,1010296.2650756836,0.21513679237815314,1.0,14.394160961263363,1.783629625,0.57865040329909,0.0,16.0,1.0
2012,30221856768.0,2012-01-01,2012-12-31,132433.328125,356629.625,533218.5,0.0,0.0,0.0,3510144.5,-209007.40625,74.0740737915039,5185.18505859375,181081.484375,269762.96875,143281.484375,-209866.671875,530559.25,193203.703125,4444.4443359375,3510070.25,,0.0,365.0,0.0,2010.0,2016.0,1.0,1.0,0.0,,651.0,male,Foreign,5510.0,55.0,3.0,1.0,Central,2010-12-27,2016-11-29,0.8055555820465088,1,0,3866848.1990737915,108677.77897644043,-0.971894997325607,0.0,13.181686917887289,0.53055925,-0.6338236400769844,0.0,2.0,1.0
2012,30229495808.0,2012-01-01,2012-12-31,5618.5185546875,162466.671875,267151.84375,2303.70361328125,0.0,-2303.70361328125,118414.8125,8929.6298828125,18600.0,19892.591796875,65437.03515625,284544.4375,58662.96484375,7325.92578125,391192.59375,13259.2587890625,1851.851806640625,45185.18359375,,0.0,365.0,0.0,2009.0,,1.0,0.0,1.0,1960.0,2272.0,female,Domestic,3312.0,33.0,2.0,2.0,East,2009-03-30,,0.5833333134651184,1,0,299481.484375,285562.9609375,-0.046475405538165836,0.0,12.876955284831682,0.39119259375,-0.9385552731325917,0.0,3.0,1.0
2012,30256525312.0,2012-01-01,2012-12-31,2214.814697265625,47459.2578125,24055.5546875,0.0,0.0,0.0,36007.40625,755.5555419921875,0.0,13000.0,8040.74072265625,30833.333984375,514.8148193359375,714.8148193359375,34688.890625,11766.6669921875,11111.111328125,36007.40625,,0.0,365.0,0.0,1997.0,,1.0,0.0,0.0,1976.0,4686.0,male,Domestic,5520.0,55.0,3.0,3.0,West,1997-11-18,,,1,0,83466.6640625,83759.2578125,0.0035055162834937937,0.0,10.454174759775293,0.034688890625,-3.3613357981889798,0.0,15.0,1.0
2012,30261288960.0,2012-02-02,2012-12-31,292.59259033203125,12151.8515625,20659.259765625,0.0,0.0,0.0,2414.814697265625,-7944.4443359375,0.0,0.0,1414.8148193359375,25637.037109375,15922.22265625,0.0,34107.40625,-6092.5927734375,1851.851806640625,2414.814697265625,,0.0,333.0,1.0,,,,,,,,,,4719.0,47.0,,1.0,Central,2012-01-31,,0.0833333358168602,1,0,14566.666259765625,2555.555435180664,-0.8245614068718436,0.0,10.437269831770934,0.03410740625,-3.37824072619334,0.0,,1.0
2012,30289381376.0,2012-01-01,2012-12-31,1185.1851806640625,4692.5927734375,68162.9609375,0.0,0.0,0.0,85225.9296875,-7377.77783203125,0.0,0.0,4692.5927734375,28574.07421875,8011.111328125,-7407.4072265625,28362.962890625,-14103.7041015625,1888.888916015625,85225.9296875,,0.0,365.0,0.0,2010.0,,1.0,0.0,0.0,1981.0,1754.0,male,Domestic,5610.0,56.0,3.0,3.0,West,2010-06-02,,0.1944444477558136,1,0,89918.5224609375,85566.66809082031,-0.04839775222071431,0.0,10.252839449470565,0.028362962890625,-3.5626711084937095,0.0,2.0,1.0
2012,30307022848.0,2012-01-01,2012-12-31,3355.5556640625,38100.0,1103.7037353515625,0.0,0.0,0.0,5662.962890625,6155.5556640625,0.0,1296.2962646484375,5425.92578125,8074.07421875,12270.3701171875,5674.07421875,29051.8515625,27359.259765625,9640.7412109375,5662.962890625,,0.0,365.0,0.0,,,,,,,,,,3312.0,33.0,2.0,3.0,East,1994-10-06,,0.2152777761220932,1,0,43762.962890625,48307.4091796875,0.10384229012144928,0.0,10.276837497340157,0.0290518515625,-3.538673060624117,0.0,,1.0
2012,30316009472.0,2012-01-01,2012-12-31,11351.8515625,37374.07421875,4833.33349609375,0.0,0.0,0.0,124181.4765625,12055.5556640625,0.0,24237.037109375,8033.33349609375,31611.111328125,35011.109375,11740.7412109375,85185.1875,12344.4443359375,11111.111328125,124181.4765625,,0.0,365.0,0.0,,,,,,,,,,5610.0,56.0,3.0,2.0,Central,2005-04-03,,0.6041666865348816,1,0,161555.55078125,161422.21875,-0.0008253014557855377,0.0,11.352582842068962,0.0851851875,-2.4629277158953125,0.0,,1.0
2012,30345320448.0,2012-01-01,2012-12-31,7192.5927734375,168562.96875,128351.8515625,148.1481475830078,0.0,-148.1481475830078,54062.96484375,74177.78125,0.0,46507.40625,27237.037109375,446974.0625,56992.59375,46137.03515625,561200.0,96159.2578125,11111.111328125,54062.96484375,,0.0,365.0,0.0,2003.0,,2.0,0.0,0.5,1968.0,1886.0,mix,Domestic,3312.0,33.0,2.0,1.0,Central,2003-10-05,,0.2638888955116272,1,0,222625.93359375,138666.66796875,-0.3771315599655595,0.0,13.237832627210443,0.5612,-0.5776779307538311,0.0,9.0,1.0
2012,30354868224.0,2012-01-01,2012-12-31,0.0,34848.1484375,23866.666015625,0.0,0.0,0.0,0.0,34288.890625,0.0,0.0,28114.814453125,492.5925903320313,0.0,0.0,34025.92578125,11111.111328125,11111.111328125,0.0,,0.0,365.0,0.0,1991.0,2014.0,1.0,0.0,0.0,1971.0,3365.0,male,Domestic,3313.0,33.0,2.0,2.0,Central,1991-12-03,2014-02-28,,1,0,34848.1484375,1407.4073486328125,-0.959613138380738,0.0,10.434878036003296,0.03402592578125,-3.3806325219609774,0.0,21.0,1.0
2012,30357745664.0,2012-01-01,2012-12-31,225.9259185791016,3088.888916015625,3462.962890625,0.0,0.0,0.0,1081.4814453125,-2025.9259033203125,0.0,1674.0740966796875,370.370361328125,10222.22265625,6170.37060546875,-2025.9259033203125,13111.111328125,707.4074096679688,1851.851806640625,1081.4814453125,,0.0,365.0,0.0,2009.0,,1.0,0.0,0.0,1989.0,1648.0,male,Domestic,2830.0,28.0,2.0,1.0,Central,2009-05-19,,0.0833333358168602,1,0,4170.370361328125,7918.518371582031,0.8987566296294713,1.0,9.48121534266349,0.013111111328125,-4.334295215300785,0.0,3.0,1.0
2012,30384373760.0,2012-01-01,2012-12-31,6466.66650390625,103414.8125,18751.8515625,0.0,0.0,0.0,7562.962890625,-51481.48046875,374.0740661621094,6833.33349609375,6944.4443359375,303114.8125,86551.8515625,-52340.7421875,344651.84375,-17851.8515625,24666.666015625,7188.888671875,,0.0,365.0,0.0,2000.0,,1.0,0.0,0.0,1972.0,3300.0,male,Domestic,5610.0,56.0,3.0,3.0,West,2000-02-09,,1.763888955116272,1,0,111351.84945678711,131422.22171020508,0.18024282803858396,0.0,12.750290037929549,0.34465184375,-1.065220520034726,0.0,12.0,1.0
2012,30393597952.0,2012-01-01,2012-12-31,14.814814567565918,466.6666564941406,16714.814453125,0.0,0.0,0.0,0.0,-5751.85205078125,0.0,0.0,0.0,3711.111083984375,1903.7037353515625,-5751.85205078125,1077.77783203125,-16392.591796875,3703.70361328125,0.0,,0.0,365.0,0.0,2011.0,,1.0,0.0,0.0,1970.0,2010.0,male,Domestic,5630.0,56.0,3.0,2.0,East,2011-07-01,,0.095238097012043,1,0,466.6666564941406,670.370361328125,0.43650794844508467,1.0,6.982656637493527,0.00107777783203125,-6.832853920470748,0.0,1.0,1.0
2012,30397687808.0,2012-01-01,2012-12-31,1640.74072265625,13777.77734375,5607.4072265625,0.0,0.0,0.0,29870.37109375,6822.22216796875,0.0,1122.22216796875,11466.6669921875,5792.5927734375,6337.037109375,6140.74072265625,20837.037109375,30625.92578125,11111.111328125,29870.37109375,,0.0,365.0,0.0,1996.0,,1.0,0.0,1.0,1974.0,3504.0,female,Domestic,5510.0,55.0,3.0,3.0,East,1996-07-25,,0.125,1,0,43648.1484375,56881.48046875,0.3031819791897673,1.0,9.944487312505169,0.020837037109375,-3.8710232454591047,0.0,16.0,1.0
2012,30405523456.0,2012-01-01,2012-12-31,3211.111083984375,74866.6640625,25540.740234375,0.0,0.0,0.0,3525.926025390625,7629.62939453125,522.2222290039064,53881.48046875,2451.851806640625,150696.296875,25985.185546875,7629.62939453125,194429.625,45333.33203125,12962.962890625,3003.70361328125,,0.0,365.0,0.0,1997.0,,1.0,0.0,0.0,1964.0,2662.0,male,Domestic,2620.0,26.0,2.0,3.0,West,1997-11-20,,0.3055555522441864,1,0,78914.81231689453,63418.51735687256,-0.19636738028083023,0.0,12.177825551373306,0.194429625,-1.6376850065909672,0.0,15.0,1.0
2012,30411012096.0,2012-01-01,2012-12-31,107.40740966796876,9214.814453125,3862.962890625,0.0,0.0,0.0,9407.4072265625,-3288.888916015625,0.0,3255.5556640625,155.55555725097656,27388.888671875,7007.4072265625,-3300.0,31281.482421875,-3866.666748046875,11111.111328125,9407.4072265625,,0.0,365.0,0.0,1991.0,,2.0,0.0,0.0,1962.0,6331.0,male,Domestic,5610.0,56.0,3.0,3.0,East,1991-12-05,,0.0833333358168602,1,0,18622.2216796875,18755.5556640625,0.007159939703673288,0.0,10.35078158553996,0.031281482421875,-3.4647289724243158,0.0,21.0,1.0
2012,30418083840.0,2012-02-25,2012-12-31,1037.0369873046875,2251.851806640625,4318.5185546875,0.0,0.0,0.0,2359.25927734375,-9703.7041015625,0.0,448.1481628417969,1233.3333740234375,23377.77734375,8066.66650390625,-9729.6298828125,23514.814453125,-7407.4072265625,3703.70361328125,2359.25927734375,,0.0,310.0,1.0,2012.0,,1.0,0.0,0.0,1964.0,1772.0,male,Domestic,5610.0,56.0,3.0,2.0,West,2012-01-17,,0.175925925374031,1,0,4611.111083984375,4229.629638671875,-0.08273091633760186,0.0,10.065385903772853,0.023514814453125,-3.750124654191421,0.0,0.0,1.0
2012,30438412288.0,2012-01-01,2012-12-31,4092.592529296875,33262.96484375,7096.29638671875,0.0,0.0,0.0,8314.814453125,1559.25927734375,2092.592529296875,0.0,3111.111083984375,64222.22265625,3511.111083984375,1403.7037353515625,74003.703125,34529.62890625,11111.111328125,6222.22216796875,,0.0,365.0,0.0,1999.0,,2.0,0.0,0.5,1958.0,2332.5,mix,Domestic,2829.0,28.0,2.0,3.0,East,1999-07-27,,0.0833333358168602,1,0,43670.371826171875,40396.29650878906,-0.07497246257520167,0.0,11.211870413163966,0.074003703125,-2.603640144800308,0.0,13.0,1.0
